episode,epsilon,SP,CS,accuracy,precision,recall,F1
1,0.9000,102.667,0.470,0.706,0.810,0.810,0.810,157.333,0.530
50,0.6500,92.000,0.456,0.559,0.691,0.687,0.689,144.000,0.528
100,0.4000,-798.667,0.000,0.000,0.000,0.000,0.000,198.667,0.557
150,0.1500,-110.667,0.194,0.180,0.296,0.293,0.294,110.667,0.455
200,0.0000,-60.000,0.324,0.599,0.705,0.696,0.701,58.667,0.424
